condition,genotype,count
Control,MI_30,3
Control,MI_31,1
Control,MI_34,1
Control,MI_35,2
Control,MI_36,2
Control,MI_37,1
Control,NY_30,4
Control,NY_56,3
HW1,MI_30,2
HW1,MI_34,1
HW1,MI_35,5
HW1,MI_36,4
HW1,MI_37,1
HW1,NY_06,1
HW1,NY_09,1
HW1,NY_30,5
HW1,NY_56,2
HW1,NY_63,1
HW2,MI_30,2
HW2,MI_31,2
HW2,MI_36,3
HW2,MI_37,1
HW2,NY_06,2
HW2,NY_09,1
HW2,NY_30,4
HW2,NY_56,3
LW1,MI_30,3
LW1,MI_31,1
LW1,MI_34,1
LW1,MI_35,2
LW1,MI_36,1
LW1,MI_37,1
LW1,NY_06,1
LW1,NY_09,1
LW1,NY_30,6
LW1,NY_56,3
LW1,NY_63,3
LW1,NY_64,2
LW2,MI_30,3
LW2,MI_31,3
LW2,MI_35,3
LW2,MI_36,2
LW2,NY_06,2
LW2,NY_09,1
LW2,NY_30,1
LW2,NY_56,2
LW2,NY_63,2
LW2,NY_64,3
